630104,1,161
630104,2,45
630104,3,32
9487,4,114
9487,5,45
9487,6,33
9487,3,16
6050894,4,174
6050894,5,81
6050894,6,58
39030,7,626
39030,2,493
39030,8,432
39030,6,422
998,9,1162
998,10,910
998,11,817
998,12,471
998,13,327
998,14,296
998,15,178
998,16,114
998,17,52
998,18,49
311164,3,550
311164,19,316
311164,20,234
311164,21,229
311164,22,198
311164,6,161
32105,3,725
32105,19,395
32105,21,332
32105,20,285
32105,22,252
32105,6,173
377993,6,106
377993,23,26
377993,24,23
71292,25,947
71292,26,319
71292,27,160
71292,6,142
71292,28,112
71292,29,96
821003,30,599
821003,31,384
821003,32,301
821003,6,149
24876258,33,2449
24876258,34,889
24876258,6,343
24876258,35,333
24876258,17,133
24876258,36,129
24876258,37,103
24876258,38,85
24876258,39,58
24876258,40,53
80631,2,195
80631,6,146
80631,7,127
80631,41,51
81048,42,81
81048,10,37
81048,13,14
81048,43,10
81048,44,9
81048,45,9
7640261,10,1134
7640261,46,560
7640261,47,426
7640261,48,330
7640261,18,307
7640261,49,211
22028,6,283
22028,50,112
22028,7,60
22028,2,38
176892,33,1109
176892,51,132
176892,6,88
176892,37,45
176892,52,43
138811,47,244
138811,10,64
138811,53,47
138811,54,26
138811,55,20
138811,56,19
15990489,6,653
15990489,57,151
15990489,3,118
15990489,58,114
15990489,17,102
15990489,59,86
15990489,60,61
15990489,61,44
15990489,38,43
15990489,62,30
15743075,3,357
15743075,21,330
15743075,22,187
15743075,63,155
15743075,38,69
16116760,3,184
16116760,1,172
16116760,59,92
16116760,6,89
13549445,19,91
13549445,3,39
13549445,6,28
13549445,22,25
13549445,64,23
13549445,65,21
550844,8,1714
550844,6,434
550844,33,164
550844,66,159
18523711,67,249
18523711,3,198
18523711,68,182
18523711,63,107
18523711,35,67
17234659,1,617
17234659,35,414
17234659,3,318
17234659,33,295
165782,6,170
165782,69,46
165782,33,35
165782,3,23
165782,59,19
23346719,6,289
23346719,7,286
23346719,2,190
23346719,41,81
23346719,70,77
274400,2,896
274400,19,195
274400,6,182
274400,22,90
274400,71,80
1977834,6,163
1977834,29,84
1977834,72,43
1977834,73,36
228345,10,680
228345,47,111
228345,74,105
228345,75,78
228345,46,74
7831145,68,793
7831145,67,670
7831145,3,669
7831145,76,282
7831145,33,278
7831145,40,244
58893,33,1984
58893,1,756
58893,77,210
58893,6,206
58893,78,142
153783,33,1468
153783,1,624
153783,6,161
153783,77,150
870461,4,132
870461,5,60
870461,6,36
870461,3,32
870461,60,10
870461,59,7
870461,79,7
870461,44,6
870461,38,5
870461,80,4
286136,6,53
286136,36,37
286136,77,29
286136,33,22
6419887,10,732
6419887,81,289
6419887,43,264
6419887,75,211
6419887,46,184
6419887,82,70
6419887,83,69
6419887,84,52
6419887,44,45
6419887,85,36
228244,65,177
228244,86,175
228244,47,163
228244,10,108
228244,55,91
228244,87,76
3004139,6,174
3004139,19,170
3004139,88,112
3004139,33,55
3004139,22,37
93729,1,1291
93729,3,470
93729,58,349
93729,6,322
93729,59,307
71869,1,423
71869,6,159
71869,55,111
900682,89,454
900682,32,302
900682,85,143
900682,6,113
900682,2,105
900682,90,105
7519640,10,633
7519640,55,370
7519640,56,265
7519640,47,264
124923,6,109
124923,7,37
124923,41,15
124923,80,14
2214574,19,560
2214574,33,453
2214574,6,386
2214574,91,169
2214574,22,157
4842437,7,231
4842437,50,30
4842437,92,29
7163862,33,649
7163862,40,358
7163862,6,300
7163862,35,243
7163862,2,153
7163862,81,100
8662135,33,187
8662135,1,109
8662135,3,39
97860,93,1157
97860,31,372
97860,33,191
10587120,47,1349
10587120,10,962
10587120,75,366
10587120,22,192
10587120,94,163
10587120,95,149
10587120,96,99
10587120,17,76
10587120,97,66
10587120,74,47
79484,19,607
79484,6,158
79484,22,122
79484,3,114
79484,21,58
26936,86,202
26936,6,125
26936,73,16
1438096,33,428
1438096,1,156
1438096,6,61
1438096,31,36
91760,42,497
91760,10,278
91760,75,138
91760,43,110
621687,33,217
621687,1,153
621687,88,152
621687,19,138
621687,35,100
621687,6,87
621687,31,50
621687,36,47
621687,98,45
621687,22,45
199635,6,172
199635,19,111
199635,23,50
39097,3,125
39097,21,91
39097,67,52
39097,22,45
39097,33,36
39097,68,29
39097,19,27
25975141,33,5
25975141,77,2
1783289,1,126
1783289,2,43
1783289,58,27
1783289,3,24
1783289,6,22
1783289,99,21
1783289,59,19
1783289,100,18
1783289,101,12
1783289,102,8
5498077,33,84
5498077,103,45
7704979,1,82
7704979,67,57
7704979,33,47
7704979,3,40
7704979,104,31
7704979,105,17
7704979,68,13
7704979,6,11
7704979,40,9
7704979,58,7
24764,1,344
24764,106,204
24764,33,190
24764,67,101
24764,35,94
24764,6,83
239065,8,466
239065,6,164
239065,7,75
239065,35,70
239065,33,34
239065,36,33
475965,6,76
475965,87,73
475965,107,17
475965,80,13
475965,73,11
7129468,1,101
7129468,102,47
7129468,58,39
7129468,3,32
7129468,59,31
1891296,33,288
1891296,51,153
1891296,1,58
1891296,6,44
294042,7,441
294042,6,317
294042,36,196
294042,2,116
6556261,8,167
6556261,33,138
6556261,1,102
6556261,6,39
8685644,1,268
8685644,67,202
8685644,104,154
8685644,33,138
8685644,19,135
8685644,2,107
15549,33,1213
15549,6,123
15549,37,53
15549,35,51
15549,39,50
15549,108,48
15549,109,46
15549,40,39
15549,110,18
15549,38,18
10414941,47,1896
10414941,75,1631
10414941,10,1325
10414941,53,422
10414941,22,201
10414941,83,154
10414941,111,101
10414941,17,88
10414941,112,57
10414941,113,56
10065348,33,50
10065348,35,19
10065348,36,16
10065348,98,11
10065348,6,10
11242368,33,150
11242368,98,44
11242368,35,35
11242368,1,34
11242368,36,29
11242368,6,27
19286623,3,1000
19286623,114,503
19286623,59,389
19286623,115,354
19286623,116,270
19286623,28,116
19286623,38,110
19286623,117,101
19286623,63,99
19286623,6,64
100629,10,236
100629,46,217
100629,118,184
100629,119,176
100629,120,158
100629,121,116
28978,2,230
28978,6,72
28978,122,66
28978,50,60
