131,Simona Abbate,F,171,64
132,Franz Abb,M,NA,NA
133,Christian Abbiati,M,192,90
134,Lois Abbingh,F,178,72
135,Alessandro Abbio,M,195,85
136,Giordano Giulio Abbondati,M,175,64
137,Salwan Jasim Abbood Abbood,M,180,104
138,"George ""Ioannis"" Abbot",M,NA,NA
139,"William ""Bill"" Abbott Jr.",M,172,80
140,Clare Abbott,F,167,58
141,"David ""Dave"" Abbott",M,183,75
142,"Desmond ""Des"" Abbott",M,184,87
143,Geoffrey Grant Abbott,M,179,80
144,Jeremy Abbott,M,175,70
145,Jeremy Abbott,M,179,71
146,Joanne Abbott,F,160,57
147,"Kathryn ""Katie"" Abbott",F,164,63
148,Mara Katherine Abbott,F,163,52
149,Margaret Ives Abbott (-Dunne),F,NA,NA
150,Mary Perkins Ives Abbott (Perkins-),F,NA,NA
151,Matt Abbott,M,185,91
152,Monica Cecilia Abbott,F,191,88
153,Khadija Abbouda,F,165,57
154,Mohamed Ibrahim Abd El-Fatah Mohamed,M,185,98
155,Mahmoud Abd El-Kader,M,195,94
156,Mohamed Ibrahim Abd El-Salam,M,192,83
157,Noha Abd Rabo,F,NA,NA
158,Reem Wa'il Abdalazem Abdalazem El-Bossaty,F,167,60
159,Ali Abdalla Afringi,M,163,57
160,Hossam Abdalla,M,203,97
161,Hosam Abdallah,M,NA,NA
162,Ismail Abdallah,M,NA,NA
163,Maged Abdallah,M,NA,NA
164,Nia Nicole Abdallah,F,175,56
165,Omari Abdallah,M,168,57
166,Ould Lamine Abdallah,M,NA,NA
167,Younis Abdallah Rabee,M,169,68
168,Raida Abdallah Bader,F,158,49
169,Maha Abdalsalam Gouda,F,172,61
170,Mahmoud Abdel Aziz,M,174,70
171,Mohamed Abdel Ellah,M,168,68
172,Mohamed Abdel Fatah,M,170,69
173,Ali Mohamed Badawi Abdel Fattah Badawi,M,NA,NA
174,Abdelgani Hassan Abdel Fattah,M,NA,NA
175,Mahmoud Atter Abdel Fattah,M,NA,NA
176,Mohamed Abdel Fattah,M,174,69
177,Sayed Abdel Gadir,M,180,56
178,Ibrahim Saad Abdel Galil,M,176,73
179,Heba Abdel Gawad,F,154,48
180,Sara Abdel Gawad,F,153,46
181,Gamal Amin Abdel Ghani,M,NA,NA
182,Abdel Sattar Abdel Hadj,M,NA,NA
183,Ragy Abdel Hady,M,186,100
184,Osman Abdel Hafeez,M,NA,NA
185,Mohamed Abdel Hafiz,M,NA,NA
186,Moustafa Ali Abdel Halim,M,152,52
187,Mohamed Abdel Hamed,M,193,82
188,Hwad Ibrahim Abdel Hamid Lumomba,M,162,57
189,Ibrahim Abdel Hamid,M,NA,NA
190,Tamer Mohamed Abdel Hamid,M,NA,NA
191,Ahmed El-Sayed Abdel Hamid Mobarak,M,189,85
192,Dorri Abdel Kader Said,M,NA,NA
193,Moustafa Mounib Abdel Kader,M,176,67
194,Mohamed Ali Abdel Kerim,M,NA,81
195,Mohamed Abdel Khaled,M,183,76
196,Abdel Latif Abdel Latif,M,172,68
197,Walid Abdel Maksoud,M,NA,NA
198,Amir Abdel Meguid,M,178,67
199,Mohamed Abdel Mohamed,M,NA,NA
200,Karim Abdel Mohsen,M,188,92
201,Awad Abdel Nabi Awad,M,198,80
202,Ahmed Abdel Naeim,M,197,87
203,Moustafa Abdel Naser,M,176,74
204,Ali Abdel Radi,M,NA,NA
205,Amin Abdel Rahman,M,NA,NA
206,Mohamed Fathallah Abdel Rahman,M,NA,NA
207,Fathi Ali Abdel Rahman,M,NA,NA
208,Ibrahim Abdel Rahman,M,NA,NA
