0,49022,13,26
1,686,38,24
2,764,38,21
3,1414,38,23
4,3834,38,26
5,4755,38,25
6,5968,38,26
7,6014,38,23
8,7989,38,26
9,13081,38,24
10,18985,38,22
11,20961,38,20
12,24658,38,19
13,26469,38,25
14,29447,38,22
15,31895,38,26
16,35329,38,30
17,37120,38,22
18,41872,38,21
19,42962,38,27
20,50370,38,29
21,50384,38,33
22,50621,38,19
23,51291,38,20
24,55593,38,25
25,57477,38,25
26,57807,38,26
27,62666,38,24
28,63817,38,23
29,66250,38,19
30,70884,38,21
31,71702,38,21
32,72055,38,22
33,72723,38,23
34,73137,38,31
35,73528,38,27
36,77142,38,29
37,79049,38,24
38,80898,38,28
39,81325,38,20
40,82803,38,27
41,83906,38,24
42,83953,38,28
43,84374,38,27
44,85941,38,21
45,95700,38,25
46,98828,38,24
47,99561,38,20
48,100558,38,22
49,100941,38,24
50,102251,38,21
51,103061,38,24
52,103856,38,24
53,105960,38,22
54,107374,38,23
55,109265,38,29
56,112708,38,24
57,117104,38,22
58,117422,38,24
59,117494,38,29
60,119459,38,20
61,121523,38,21
62,122469,38,21
63,126560,38,22
64,129289,38,23
65,130535,38,25
66,134300,38,21
67,1443,36,18
68,6014,36,19
69,7989,36,22
70,11593,36,23
71,12730,36,21
72,15010,36,24
73,15018,36,22
74,17972,36,23
75,19833,36,24
76,21662,36,21
77,24889,36,27
78,27212,36,22
79,28196,36,24
80,35329,36,26
81,35978,36,21
82,37091,36,23
83,41927,36,25
84,42962,36,23
85,43560,36,23
86,43584,36,24
87,45541,36,22
88,50370,36,25
89,50384,36,29
90,55593,36,21
91,56889,36,17
92,57477,36,21
93,57807,36,22
94,62672,36,23
95,65343,36,19
96,68610,36,23
97,71702,36,17
98,73474,36,21
99,77743,36,22
100,83953,36,24
101,84263,36,25
102,84374,36,23
103,86974,36,21
104,93920,36,23
105,94424,36,20
106,97132,36,24
107,98828,36,20
108,99013,36,30
109,99561,36,16
110,100736,36,28
111,100763,36,24
112,100941,36,20
113,102626,36,25
114,106983,36,21
115,107029,36,19
116,109265,36,25
117,113247,36,20
118,115052,36,21
119,115209,36,21
120,117494,36,25
121,121511,36,22
122,129894,36,21
123,1375,14,21
124,2694,14,24
125,4772,14,21
126,4781,14,34
127,12446,14,24
128,12545,14,23
129,15421,14,24
130,16236,14,27
131,16322,14,19
132,17022,14,27
133,20236,14,21
134,21920,14,35
135,22068,14,22
136,27429,14,20
137,29692,14,26
138,31865,14,21
139,35239,14,20
140,36604,14,21
141,37925,14,27
142,37943,14,18
143,40397,14,25
144,41768,14,22
145,44455,14,25
146,47529,14,17
147,48843,14,32
148,49523,14,22
149,49982,14,23
150,50336,14,21
151,50354,14,17
152,51844,14,23
153,52491,14,23
154,53026,14,25
155,54512,14,23
156,54942,14,20
157,60274,14,21
158,67664,14,25
159,67996,14,22
160,72273,14,23
161,73552,14,26
162,77640,14,21
163,85862,14,20
164,86489,14,23
165,92738,14,25
166,100262,14,25
167,101094,14,21
168,104421,14,37
169,104771,14,18
170,104858,14,17
171,106325,14,21
172,107495,14,26
173,108696,14,24
174,108859,14,21
175,109156,14,22
176,110069,14,18
177,114785,14,28
178,123456,14,20
179,126635,14,18
180,127780,14,20
181,127885,14,19
182,128599,14,34
183,128895,14,21
184,129481,14,25
185,129593,14,26
186,129677,14,27
187,134852,14,22
188,134916,14,23
189,764,39,23
190,4108,39,20
191,4755,39,27
192,7989,39,28
193,8220,39,22
194,8318,39,19
195,12730,39,27
196,12776,39,22
197,18985,39,24
198,19408,39,22
199,21245,39,22
200,23358,39,23
201,27136,39,23
202,30013,39,23
203,40743,39,19
204,41204,39,23
205,41872,39,23
206,42962,39,29
207,43556,39,23
208,45813,39,23
209,46253,39,22
210,56345,39,22
211,57477,39,27
212,66250,39,21
213,70884,39,23
214,71154,39,22
215,72055,39,24
216,72723,39,25
217,73537,39,23
218,79049,39,26
219,80857,39,19
220,80898,39,30
221,81134,39,26
222,81325,39,22
223,81361,39,22
224,83953,39,30
225,85366,39,24
226,88506,39,21
227,89265,39,21
228,89614,39,22
229,94424,39,26
230,96494,39,21
231,97473,39,25
232,98785,39,24
233,98828,39,26
234,100558,39,24
235,115209,39,27
236,117422,39,26
237,119459,39,22
238,121523,39,23
239,122221,39,24
240,124970,39,19
241,125546,39,24
242,129270,39,26
243,130533,39,23
244,134449,39,20
245,3105,41,25
246,4108,41,24
247,7982,41,24
248,8535,41,23
249,11685,41,24
250,17264,41,25
251,19408,41,26
252,21245,41,26
253,30013,41,27
254,33021,41,22
255,35978,41,31
256,42962,41,33
257,49002,41,25
258,55411,41,24
259,56778,41,22
260,58452,41,26
261,64713,41,24
262,64798,41,24
263,66834,41,20
264,71154,41,26
265,72055,41,28
266,73537,41,27
267,76146,41,24
268,77771,41,25
269,81093,41,23
270,83161,41,27
271,85553,41,27
272,91558,41,19
273,98776,41,25
274,98785,41,28
275,98828,41,30
276,100558,41,28
277,101122,41,25
278,103836,41,24
279,120245,41,21
280,121594,41,21
281,131193,41,22
282,134449,41,24
283,119,43,25
284,1611,43,21
285,4108,43,28
286,4239,43,23
287,7855,43,23
288,8318,43,27
289,8754,43,23
290,10415,43,25
291,14575,43,23
292,16088,43,25
293,17264,43,29
294,23321,43,24
295,23432,43,21
296,25010,43,25
297,27048,43,24
298,30013,43,31
299,39663,43,28
300,43573,43,24
301,53485,43,21
302,54807,43,26
303,55665,43,28
304,57590,43,22
305,58452,43,30
306,70141,43,28
