49022,190
686,63
764,120
1414,69
3834,66
4755,40
5968,176
6014,216
7989,74
13081,169
18985,36
20961,109
24658,120
26469,69
29447,227
31895,169
35329,36
37120,100
41872,100
42962,13
50370,13
50384,130
50621,109
51291,227
55593,150
57477,69
57807,216
62666,63
63817,100
66250,181
70884,104
71702,66
72055,100
72723,216
73137,176
73528,150
77142,29
79049,32
80898,122
81325,162
82803,197
83906,120
83953,79
84374,74
85941,40
95700,150
98828,190
99561,40
100558,32
100941,197
102251,90
103061,90
103856,13
105960,63
107374,36
109265,74
112708,74
117104,13
117422,190
117494,12
119459,104
121523,216
122469,150
126560,66
129289,190
130535,190
134300,227
1443,197
11593,70
12730,150
15010,190
15018,13
17972,193
19833,216
21662,69
24889,100
27212,40
28196,36
35978,150
37091,69
41927,81
43560,120
43584,100
45541,70
56889,8
62672,8
65343,40
68610,104
71702,214
73474,193
77743,69
83953,70
84263,190
86974,36
93920,193
94424,40
97132,100
99013,120
100736,70
100763,12
102626,190
106983,36
107029,120
113247,214
115052,120
115209,152
121511,13
129894,216
1375,100
2694,216
4772,193
4781,150
12446,32
12545,114
15421,150
16236,32
16322,32
17022,162
20236,19
21920,74
22068,227
27429,81
29692,197
31865,227
35239,162
36604,227
37925,79
37943,120
40397,216
41768,100
44455,79
47529,79
48843,114
49523,104
49982,169
50336,227
50354,120
51844,90
52491,169
53026,104
54512,19
54942,74
60274,197
67664,36
67996,162
72273,90
73552,90
77640,90
85862,69
86489,207
92738,207
100262,150
101094,74
104421,122
104771,19
104858,207
106325,216
107495,216
108696,69
108859,100
109156,79
110069,169
114785,150
123456,104
126635,100
127780,197
127885,197
128599,19
128895,169
129481,36
129593,74
129677,36
134852,207
134916,69
4108,100
8220,105
8318,171
12776,90
19408,216
21245,13
23358,216
27136,40
30013,36
40743,163
41204,4
43556,181
45813,13
46253,150
56345,68
71154,150
73537,150
80857,8
81134,190
81361,120
85366,193
88506,68
89265,181
89614,181
96494,193
97473,63
98785,193
122221,79
124970,171
125546,63
129270,74
130533,63
134449,77
3105,181
7982,74
8535,162
11685,55
17264,190
33021,100
49002,13
55411,74
56778,216
58452,181
64713,190
64798,120
66834,68
76146,121
77771,100
81093,54
83161,13
85553,216
91558,212
98776,95
101122,181
103836,40
120245,55
121594,40
131193,104
119,12
1611,8
4239,170
7855,181
8754,32
10415,69
14575,13
16088,54
23321,12
23432,8
25010,36
27048,190
39663,69
43573,181
53485,192
54807,216
55665,54
57590,36
70141,13
72650,100
79917,171
87620,13
87722,192
89611,181
93707,8
96651,54
98739,100
98824,216
99720,171
103859,13
109681,74
111557,216
113221,171
116632,54
116718,32
119195,23
123333,150
1147,190
2000,68
2681,36
11029,197
12274,40
15516,150
22298,69
24696,197
25729,32
27340,32
28286,74
29018,169
29033,169
29076,207
29235,13
29433,13
30306,190
32251,13
35607,190
35684,63
36409,81
37825,120
40751,69
42201,8
43088,40
44174,97
45724,193
46376,74
46776,36
47149,36
48142,69
49112,40
52398,169
54124,216
54659,40
55026,69
55636,162
58570,162
59930,227
60234,13
62878,63
63540,63
66457,162
67741,190
73054,90
75187,120
77721,197
78449,8
79530,97
83351,150
85234,227
86072,120
87747,19
91387,119
94472,193
96503,193
97062,207
97312,8
97622,8
100194,68
101894,19
103081,90
106891,216
107496,216
115016,100
115568,227
117029,150
117367,216
117595,193
118653,150
119642,90
120756,120
121590,63
124848,169
129246,36
135175,97
916,192
1429,69
2227,150
3302,150
3666,171
4753,69
8137,216
11635,137
14112,190
18158,190
21575,100
21583,55
28109,100
35845,63
40841,32
48352,40
51290,23
51360,105
52264,169
53815,50
56433,216
62533,8
71156,150
71346,181
72327,54
79312,162
80926,4
84196,192
84293,105
84466,54
85197,192
85602,13
85993,190
86069,13
90787,36
92665,50
93944,32
96441,137
97196,13
99396,63
99722,171
100758,100
109190,13
111872,190
120794,216
121388,69
132999,25
3108,181
4165,4
7873,181
10566,171
22469,120
24294,190
35926,54
36232,169
37518,36
42295,100
53606,50
56533,192
57327,69
61343,36
62244,12
62623,40
71659,171
73401,193
80486,36
80873,190
83124,13
86935,162
88663,32
94009,29
94754,74
100303,193
102392,69
105683,114
108631,4
110571,36
112627,216
114910,190
115404,97
117439,216
122070,50
7731,68
7861,181
30113,74
40170,13
45584,193
60047,69
65918,69
69646,4
73330,150
77430,36
80216,100
86996,36
108102,114
117095,171
117113,79
123618,36
129017,216
14993,79
16835,36
24521,190
37874,190
46198,79
47795,13
75075,13
98703,13
104968,216
109137,36
123464,104
10587,13
28702,216
41412,13
46198,70
87433,100
101065,190
101925,69
114425,104
3404,214
7108,36
7294,69
7580,13
7727,190
8634,162
10512,13
11388,81
12554,150
14452,94
17205,100
19611,74
19726,69
20733,104
21796,74
21951,81
26442,19
34532,197
36430,227
37019,63
39929,214
40849,32
40884,32
41682,169
42182,100
45691,190
45908,79
48985,120
50993,119
54706,63
55929,162
56539,197
57136,119
59933,227
63601,79
63602,79
64538,13
67861,79
71958,150
72561,197
73298,193
76325,100
78154,227
78553,63
79658,94
84693,216
86065,120
91521,207
93478,169
93812,74
97549,68
97982,100
100523,32
104097,216
104675,190
105325,69
105805,94
108151,74
108610,190
113407,214
118309,104
123338,150
125550,40
125901,214
127079,197
127626,216
127928,13
129477,12
129675,216
5435,94
7859,227
8246,214
8559,162
10758,63
11755,120
12691,81
13112,63
13552,207
14847,69
15514,150
15655,227
24141,169
25397,74
26592,216
27182,70
27469,81
28482,169
29009,190
29242,76
29557,190
30456,13
35138,94
36879,63
37972,70
41405,100
41407,13
41414,70
41543,36
44565,8
44683,69
46177,120
47354,13
49626,104
50914,74
53877,100
55266,216
56563,197
57368,69
57392,190
58385,216
58411,74
58412,92
59932,227
62071,150
63591,190
63683,120
65145,40
65596,104
67794,13
73299,150
76830,69
77138,94
77936,63
78167,70
78774,74
79996,12
83204,40
86463,207
86484,207
88896,197
91439,152
94454,193
97384,150
97456,94
100392,193
100503,32
100740,36
103773,68
105624,100
106415,40
107774,152
108078,8
108280,36
110637,162
120440,100
121222,152
123438,104
123757,68
124965,214
125843,214
128405,36
129918,216
130228,120
132086,104
135506,207
593,207
8545,162
9927,216
11382,150
12966,120
14439,193
17029,162
17182,100
19689,74
20171,216
20227,74
22474,40
32991,193
37514,69
38371,227
38732,79
39479,36
40096,190
45085,104
49119,40
56872,63
57426,36
58586,162
60638,74
62236,74
62429,8
62676,63
65168,63
65177,40
67316,94
71741,81
73381,193
78167,79
78628,63
84594,100
87870,119
92730,119
97200,227
99986,8
100981,227
101289,12
103417,197
111418,119
115137,12
119495,214
124600,214
128951,79
129961,190
130212,79
132111,104
133601,207
1063,227
1455,8
1895,207
2092,94
2453,74
7588,120
7860,227
8672,216
10411,4
15040,190
15968,197
16648,152
18245,8
18399,4
25287,36
25389,36
25560,12
27078,19
32937,150
33772,100
35803,40
37894,13
40854,32
43139,94
43634,216
44602,100
48794,100
52395,169
53593,32
54699,63
55253,36
55316,216
62543,63
63149,40
63607,70
63626,13
64984,8
65269,63
67786,216
69382,36
70152,12
71214,13
71610,74
78603,8
87608,70
88725,104
89090,197
89740,207
90362,94
90373,94
98354,69
100760,70
100784,74
101911,190
103549,40
105296,190
106945,12
107040,19
108115,152
108856,100
109040,162
116277,81
117771,74
117792,152
117955,104
121332,81
126875,214
127954,190
129101,120
130256,70
130520,4
11033,12
11826,150
12031,49
25424,74
27064,19
33749,190
42530,100
44058,8
44067,27
46713,13
48155,19
49826,109
56174,8
81252,8
88221,4
94937,8
98755,4
101304,13
101907,69
101952,216
109674,74
112569,27
117287,36
122758,190
124002,190
124608,214
126832,214
128589,13
11601,13
22875,64
37116,190
45539,13
78276,100
78777,36
93532,69
101184,100
102490,100
104053,36
7738,13
27047,190
32271,23
38724,13
69744,36
128640,100
4644,81
8544,162
8948,81
10959,81
11392,8
13901,12
14377,79
15033,190
18153,100
18550,8
21289,13
28958,163
29872,40
30453,13
30596,68
38108,190
40773,190
40863,32
43189,36
43255,190
44235,150
44699,69
46910,97
47898,145
48712,152
49596,104
51592,100
52394,169
56054,227
59336,97
60679,36
60943,74
61052,193
61935,150
63597,79
64090,216
65358,63
78383,63
85906,69
88382,169
94767,74
97182,13
97326,13
101111,145
103486,169
106207,216
107080,36
115504,193
116742,162
117022,97
129798,12
129931,79
133629,100
135273,97
6235,190
15528,150
21187,13
21597,13
22245,69
25111,216
25260,36
69432,150
81457,216
85714,40
86121,79
88528,40
102376,69
108731,100
112535,69
5135,190
33368,74
34133,100
37987,13
44804,90
46414,216
55814,162
57220,69
66004,8
66372,8
71671,120
100656,74
103874,207
104130,190
106234,216
107980,100
109191,190
110752,227
115663,90
118655,150
124308,227
129851,74
4072,74
5009,70
5094,150
7753,190
14782,69
18294,8
21901,152
25586,216
26692,36
35991,193
42525,100
46196,70
48098,69
48427,216
48773,120
50768,74
62719,8
63761,13
67524,13
81212,100
84903,104
87444,216
105181,13
105724,32
105729,36
107063,216
108602,69
108718,190
109669,152
109831,74
113334,214
116919,100
117454,12
126425,169
129112,70
2696,4
2904,100
5664,12
6424,8
7716,81
7891,40
17140,152
22875,74
22913,190
25690,137
32450,8
33767,13
34033,109
38203,74
39566,36
42963,120
45817,40
48799,70
50342,120
55484,60
56092,227
62415,4
70462,109
71219,70
74073,81
83914,152
